編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSLNHLGFDC48CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPPNMLSLNHLGFDC48CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPQNMLMKOHLGFDC97CB,溪頭段,.10,都市：住,1000000,2644,持分移轉,07480000
RPQNMLMKOHLGFDC97CB,溪頭段,19.30,都市：住,1000000,2644,持分移轉,07500000
RPQNMLMKOHLGFDC97CB,溪頭段,.04,都市：住,1000000,2644,持分移轉,07500001
RPQNMLMKOHLGFDC97CB,溪頭段,.26,都市：住,1000000,2644,持分移轉,07500002
RPQNMLMKOHLGFDC97CB,溪頭段,6.11,都市：住,1000000,2644,持分移轉,07530000
RPQNMLMKOHLGFDC97CB,溪頭段,.04,都市：住,1000000,2644,持分移轉,08620001
RPQNMLMKOHLGFDC97CB,溪頭段,.66,都市：住,1000000,2644,持分移轉,08630000
RPQNMLMKOHLGFDC97CB,溪頭段,.00,都市：住,1000000,2644,持分移轉,08660000
RPPNMLMJOHLGFDC77CB,溪頭段,.10,都市：住,1000000,2677,持分移轉,07480000
RPPNMLMJOHLGFDC77CB,溪頭段,19.54,都市：住,1000000,2677,持分移轉,07500000
RPPNMLMJOHLGFDC77CB,溪頭段,.04,都市：住,1000000,2677,持分移轉,07500001
RPPNMLMJOHLGFDC77CB,溪頭段,.26,都市：住,1000000,2677,持分移轉,07500002
RPPNMLMJOHLGFDC77CB,溪頭段,6.19,都市：住,1000000,2677,持分移轉,07530000
RPPNMLMJOHLGFDC77CB,溪頭段,.04,都市：住,1000000,2677,持分移轉,08620001
RPPNMLMJOHLGFDC77CB,溪頭段,.67,都市：住,1000000,2677,持分移轉,08630000
RPPNMLMJOHLGFDC77CB,溪頭段,.01,都市：住,1000000,2677,持分移轉,08660000
RPPNMLMKOHLGFDC87CB,溪頭段,.10,都市：住,1000000,2677,持分移轉,07480000
RPPNMLMKOHLGFDC87CB,溪頭段,19.54,都市：住,1000000,2677,持分移轉,07500000
RPPNMLMKOHLGFDC87CB,溪頭段,.04,都市：住,1000000,2677,持分移轉,07500001
RPPNMLMKOHLGFDC87CB,溪頭段,.26,都市：住,1000000,2677,持分移轉,07500002
RPPNMLMKOHLGFDC87CB,溪頭段,6.19,都市：住,1000000,2677,持分移轉,07530000
RPPNMLMKOHLGFDC87CB,溪頭段,.04,都市：住,1000000,2677,持分移轉,08620001
RPPNMLMKOHLGFDC87CB,溪頭段,.67,都市：住,1000000,2677,持分移轉,08630000
RPPNMLMKOHLGFDC87CB,溪頭段,.01,都市：住,1000000,2677,持分移轉,08660000
