編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLTLNHLGFAG09CB,中華段,26.54,都市：住,100000,5684,持分移轉,01980000
RPTNMLTLNHLGFAG09CB,中華段,8.07,都市：住,100000,5684,持分移轉,01980002
RPQNMLLJOHLGFAG87CB,公正段,37.00,都市：住,6,1,持分移轉,05360000
RPQNMLTLNHLGFAG78CB,中華段,26.54,都市：住,100000,5684,持分移轉,01980000
RPQNMLTLNHLGFAG78CB,中華段,8.07,都市：住,100000,5684,持分移轉,01980002
RPUNMLTLNHLGFAG56CB,中華段,24.13,都市：住,100000,5168,持分移轉,01980000
RPUNMLTLNHLGFAG56CB,中華段,7.34,都市：住,100000,5168,持分移轉,01980002
RPSNMLTLNHLGFAG98CB,中華段,24.13,都市：住,100000,5168,持分移轉,01980000
RPPNMLTLNHLGFAG68CB,中華段,24.13,都市：住,100000,5168,持分移轉,01980000
RPPNMLTLNHLGFAG68CB,中華段,7.34,都市：住,100000,5168,持分移轉,01980002
RPSNMLTLNHLGFAG98CB,中華段,7.34,都市：住,100000,5168,持分移轉,01980002
RPPNMLLJOHLGFAG77CB,中華段,26.46,都市：住,100000,5666,持分移轉,01980000
RPPNMLLJOHLGFAG77CB,中華段,8.05,都市：住,100000,5666,持分移轉,01980002
RPRNMLTLNHLGFAG88CB,中華段,24.13,都市：住,100000,5168,持分移轉,01980000
RPRNMLTLNHLGFAG88CB,中華段,7.34,都市：住,100000,5168,持分移轉,01980002
RPPNMLOLNHLGFAG18CB,文化段,7.95,都市：住,100000,2186,持分移轉,05400000
RPPNMLOLNHLGFAG18CB,文化段,1.29,都市：住,100000,2186,持分移轉,06870004
RPPNMLOLNHLGFAG18CB,文化段,17.45,都市：住,100000,2186,持分移轉,06920000
RPPNMLOLNHLGFAG18CB,文化段,3.48,都市：住,100000,2186,持分移轉,06970000
RPQNMLRLNHLGFAG58CB,國民一段,18.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,259,持分移轉,10370000
RPQNMLRLNHLGFAG58CB,國民一段,9.97,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,259,持分移轉,10340000
RPQNMLRLNHLGFAG58CB,國民一段,42.95,非都市：特定農業區 ; 非都市編定：農牧用地,10000,318,持分移轉,10330000
RPPNMLRLNHLGFAG48CB,鎮安段,51.00,都市：住,100000,6331,持分移轉,09760000
RPRNMLLJOHLGFAG97CB,八仙段,94.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,50587,持分移轉,02530000
RPRNMLLJOHLGFAG97CB,八仙段,155.27,非都市：特定農業區 ; 非都市編定：農牧用地,266319,15527,持分移轉,02520000
RPSNMLKKOHLGFAG08CB,新群一段,16.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,15150001
RPSNMLKKOHLGFAG08CB,新群一段,67.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,15150003
RPPNMLLKOHLGFAG87CB,香和段,2.17,都市：其他:都市計畫內住宅區,10000,412,持分移轉,11070000
RPPNMLLKOHLGFAG87CB,香和段,21.13,都市：其他:都市計畫內住宅區,10000,412,持分移轉,11140000
RPPNMLLKOHLGFAG87CB,香和段,26.28,都市：其他:都市計畫內住宅區,10000,412,持分移轉,11260000
RPQNMLSJOHLGFAG58CB,義成八段,42.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2916,持分移轉,08520000
RPQNMLSJOHLGFAG58CB,義成八段,6.60,都市：農,41,1,持分移轉,07620002
RPQNMLSJOHLGFAG58CB,義成八段,2.37,都市：農,41,1,持分移轉,08380000
RPPNMLOJOHLGFAG08CB,大洲二段,25.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,251,持分移轉,09340000
RPPNMLOJOHLGFAG08CB,大洲二段,9.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340001
RPPNMLOJOHLGFAG08CB,大洲二段,2.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340018
RPQNMLPJOHLGFAG28CB,利福段,9.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3591,持分移轉,05150000
RPQNMLPJOHLGFAG28CB,利福段,3.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3591,持分移轉,05160000
RPQNMLPJOHLGFAG28CB,利福段,13.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3591,持分移轉,05170000
RPPNMLKKOHLGFAG77CB,廣興一段,119.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11180000
RPPNMLMLOHLGFAG08CB,東榮二段,72.06,都市：其他:第二種產業專用區,10000,2802,持分移轉,00230000
RPPNMLMLOHLGFAG08CB,東榮二段,82.05,都市：其他:第二種產業專用區,10000,2802,持分移轉,00250000
RPQNMLLLOHLGFBG18CB,壯志段,67.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200109
RPQNMLLLOHLGFBG18CB,壯志段,13.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200110
RPQNMLLLOHLGFBG18CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPQNMLRKOHLGFBG68CB,宜大段,29.10,都市：住,100000,898,持分移轉,07610000
RPQNMLRKOHLGFBG68CB,宜大段,.65,都市：住,100000,898,持分移轉,07610001
RPQNMLTLNHLGFBG88CB,過港段,7.91,都市：住,100000,630,持分移轉,12680000
RPQNMLTLNHLGFBG88CB,過港段,1.58,都市：住,100000,630,持分移轉,12680001
RPQNMLTLNHLGFBG88CB,過港段,1.58,都市：住,100000,630,持分移轉,12680002
RPQNMLTLNHLGFBG88CB,過港段,2.37,都市：住,100000,630,持分移轉,12680003
RPQNMLTLNHLGFBG88CB,過港段,2.37,都市：住,100000,630,持分移轉,12680004
RPPNMLKKOHLGFBG87CB,進士二段,107.44,都市：住,1,1,全筆移轉,06760003
RPTNMLMLNHLGFBG48CB,過港段,7.91,都市：住,100000,630,持分移轉,12680000
RPTNMLMLNHLGFBG48CB,過港段,1.58,都市：住,100000,630,持分移轉,12680001
RPTNMLMLNHLGFBG48CB,過港段,1.58,都市：住,100000,630,持分移轉,12680002
RPTNMLMLNHLGFBG48CB,過港段,2.37,都市：住,100000,630,持分移轉,12680003
RPTNMLMLNHLGFBG48CB,過港段,2.37,都市：住,100000,630,持分移轉,12680004
RPPNMLSJOHLGFBG58CB,深福段,2.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,382,持分移轉,02990000
